Rank,Player,Apps,Span[a],Teams[b],Apps,,,,,,,,,,,,,,,,,
1,Peter Shilton,"1,398+",1965?1997,Leicester City,349,,,,,,,,,,,,,,,,,
,Peter Shilton,,,Stoke City,121,,,,,,,,,,,,,,,,,
,Peter Shilton,,,Nottingham Forest,272,,,,,,,,,,,,,,,,,
,Peter Shilton,,,Southampton,242,,,,,,,,,,,,,,,,,
,Peter Shilton,,,Derby County,211,,,,,,,,,,,,,,,,,
,Peter Shilton,,,Plymouth Argyle,43,,,,,,,,,,,,,,,,,
,Peter Shilton,,,Bolton Wanderers,2,,,,,,,,,,,,,,,,,
,Peter Shilton,,,Leyton Orient,10,,,,,,,,,,,,,,,,,
2,Paul Bastock,"1,285+",1988?2018,Cambridge United,13,,,,,,,,,,,,,,,,,
,Paul Bastock,,,Bath City,1,,,,,,,,,,,,,,,,,
,Paul Bastock,,,Sabah FA,?,,,,,,,,,,,,,,,,,
,Paul Bastock,,,Cheltenham Town,1,,,,,,,,,,,,,,,,,
,Paul Bastock,,,Fisher Athletic,28,,,,,,,,,,,,,,,,,
,Paul Bastock,,,Kettering Town,27,,,,,,,,,,,,,,,,,
,Paul Bastock,,,Aylesbury United,5,,,,,,,,,,,,,,,,,
,Paul Bastock,,,Boston United,679,,,,,,,,,,,,,,,,,
,Paul Bastock,,,Dagenham & Redbridge,1,,,,,,,,,,,,,,,,,
,Paul Bastock,,,St Albans City,315,,,,,,,,,,,,,,,,,
,Paul Bastock,,,Rushden & Diamonds,25,,,,,,,,,,,,,,,,,
,Paul Bastock,,,Worksop Town,42,,,,,,,,,,,,,,,,,
,Paul Bastock,,,Royston Town,13,,,,,,,,,,,,,,,,,
,Paul Bastock,,,St Neots Town,39,,,,,,,,,,,,,,,,,
,Paul Bastock,,,Dunstable Town,30,,,,,,,,,,,,,,,,,
,Paul Bastock,,,Stamford,25,,,,,,,,,,,,,,,,,
,Paul Bastock,,,Corby Town,5,,,,,,,,,,,,,,,,,
,Paul Bastock,,,Wisbech Town,33,,,,,,,,,,,,,,,,,
,Paul Bastock,,,Grantham Town,1,,,,,,,,,,,,,,,,,
,Paul Bastock,,,Pinchbeck United,1,,,,,,,,,,,,,,,,,
,Paul Bastock,,,King's Lynn Town,1,,,,,,,,,,,,,,,,,
3,RogÇrio Ceni,"1,226",1990?2015,Sinop,12,,,,,,,,,,,,,,,,,
,,,,S?o Paulo,"1,197",,,,,,,,,,,,,,,,,
4,F†bio,"1,196+",1997?,Uni?o Bandeirante,30,,,,,,,,,,,,,,,,,
,F†bio,,,AtlÇtico Paranaense,16,,,,,,,,,,,,,,,,,
,F†bio,,,Vasco da Gama,150,,,,,,,,,,,,,,,,,
,F†bio,,,Cruzeiro,955+,,,,,,,,,,,,,,,,,
,F†bio,,,Fluminense,34,,,,,,,,,,,,,,,,,
5,Franti?ek Pl†ni?ka,"1,187+",1918?1957,Slovan Praha VII,22,,,,,,,,,,,,,,,,,
,Franti?ek Pl†ni?ka,,,Union VII,?,,,,,,,,,,,,,,,,,
,Franti?ek Pl†ni?ka,,,Starom?stsk? SK Olympia,?,,,,,,,,,,,,,,,,,
,Franti?ek Pl†ni?ka,,,SK Bubene?,108,,,,,,,,,,,,,,,,,
